id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Horace;Upton;Zula89@gmail.com;for masonry;2024-08-15T20:38:29;11103;21862
2;Allison;Hoppe;Webster_Cassin18@yahoo.com;opt;2024-08-16T02:51:55;22286;28879
3;Hailee;Kohler;Olin_Steuber@yahoo.com;emulsify;2024-08-16T06:10:12;4487;16260
4;Raymundo;Schowalter;Terry48@hotmail.com;series yet boohoo;2024-08-15T13:44:56;21777;14066
5;Angela;Padberg;Kiley_Predovic79@hotmail.com;why accouter possible;2024-08-15T22:58:41;20683;4265
6;Julianne;Kunde;Frances.Braun@gmail.com;tremendously;2024-08-15T19:18:43;1780;28953
7;Newell;Howe;Pasquale82@hotmail.com;and but meh;2024-08-15T10:29:39;31588;635
8;Heather;Cormier;Dejah_Halvorson@yahoo.com;under;2024-08-15T20:15:38;20677;19049
9;Vergie;Witting;Raoul_Ferry@yahoo.com;rug woot;2024-08-15T23:14:28;1168;15312
10;Lue;Quigley;Raquel0@hotmail.com;yuck;2024-08-16T06:58:49;13039;1788
