id;first_name;last_name;email;phone_number;address;loyalty_points
1;Isabella;Erdman;Tamia_McClure93@gmail.com;polarization;on bait;26839
2;Felicita;Block;Elvis75@hotmail.com;subdued;since;20619
3;Rory;Towne;Gwendolyn6@hotmail.com;vastly whose;via or;30472
4;Amanda;Bartell;Floy1@hotmail.com;shipyard why;firsthand;10469
5;Leonel;Hermann;David2@hotmail.com;phooey pet;hence manifest gee;28500
6;Beaulah;Volkman;Everette99@hotmail.com;among;instructive against;29933
7;Alice;Schuppe;Florian_Dibbert89@gmail.com;spiffy valiantly;plump greatly;27901
8;Skylar;Kemmer;Jerod.Spencer@gmail.com;dapper so;scream;23876
9;Randall;Quitzon;Yasmin.Bergstrom@gmail.com;open;wavy slang;32187
10;Kieran;Shields;Myles_Langworth@gmail.com;below gadzooks;whole crocus;17730
