id;name;contact_number;vehicle_details
1;toughen pace really;that pricey;to
2;honestly afterwards since;nationalise that;around notwithstanding
3;estate olive;quarrel loud;interlace spry amongst
4;and;boggle anti bonsai;although
5;shoddy;earnest authorized yowza;likewise settle curse
6;now gloat;considering vastly minty;aromatic successfully
7;drat;firsthand;tomorrow smith stagnate
8;mmm;octopus;blissfully punctual
9;shelf;unwieldy heavenly about;hm boastfully
10;through;remedy ew wonderfully;trained less curl
