id;delivery_address;delivery_status;assigned_driver;estimated_delivery_time
1;rosy router struggle;OUT_FOR_DELIVERY;gadzooks soon;2024-10-16T13:02:59
2;jovially shameless wavy;PENDING;fortunately trustworthy;2024-10-16T23:39:56
3;idle unto wholesaler;DELIVERED;strictly guzzle;2024-10-17T06:59:22
4;mild wind;DELIVERED;upon pleasant;2024-10-17T03:52:26
5;thoroughly unto from;OUT_FOR_DELIVERY;woot now from;2024-10-16T19:19:52
6;geez;OUT_FOR_DELIVERY;courageously noisy;2024-10-16T09:31:02
7;although within;PENDING;yuck whether gah;2024-10-17T01:11:20
8;about vaguely access;DELIVERED;apologise;2024-10-17T05:11:23
9;silly barber longingly;OUT_FOR_DELIVERY;restate utilize;2024-10-16T12:43:57
10;quizzically fragrance in;PENDING;unto;2024-10-16T21:49:03
